Topic,Phrase_FR,Phrase_EN
BANKING,Augmente le paiement tout de suite.,Increase the payment immediately.
INFRA,Le câble Ethernet est hors ligne dans la salle serveur.,Ethernet cable is offline in server room.
BUSINESS,Le contrat est prioritaire pour le Q4.,The contract is priority for Q4.
INFRA,Le VPN est down ping élevé.,The VPN is down high ping.
GOSSIP,Elle est un fumiste franchement.,She is a slacker honestly.
BANKING,Valide le code PIN code erroné.,Validate the PIN code wrong code.
ACCOUNTING,La provision manque de justificatif dans les livres légaux.,The provision lacks proof in statutory books.
GOSSIP,Il est bizarre c'est hallucinant.,He is weird it is mind-blowing.
CYBER,Le phishing intercepté(e) niveau critique.,Phishing intercepted critical level.
HR_HIRING,La mutuelle inclut des actions avec une prime à la signature.,Health insurance includes shares with a signing bonus.
BANKING,Rejette le sans contact car je n'ai pas fait cet achat.,Reject contactless payment cause I didn't make this purchase.
HR_COMPLAINT,Cette situation porte atteinte à ma dignité selon le règlement intérieur.,This situation affects my dignity according to internal rules.
INFRA,La carte mère doit être redémarré coupure de courant.,The motherboard must be rebooted power cut.
CYBER,Le scan de vulnérabilité en cours depuis une IP suspecte.,Vulnerability scan in progress from suspicious IP.
GOSSIP,Ce type se la raconte c'est hallucinant.,This guy shows off it is mind-blowing.
CYBER,Tentative d'intrusion sur le port 22 exfiltration de données.,Intrusion attempt on port 22 data exfiltration.
BANKING,Valide le virement SEPA je suis à découvert.,Validate the SEPA transfer I am overdrawn.
TECH,Le module est en lecture seule dans la librairie.,The module is read-only in the library.
CYBER,Payload malveillant signale une alerte exfiltration de données.,Malicious payload signals an alert data exfiltration.
INFRA,Le VPN est hors ligne il faut remplacer la pièce.,The VPN is offline part needs replacement.
GOSSIP,C'est un est nul à chier à la machine à café.,He is a is absolutely useless at the coffee machine.
CYBER,Une faille XSS intercepté(e) compromission du compte.,XSS vulnerability intercepted account compromise.
TECH,La boucle while est mal indenté(e) dans la librairie.,The while loop is poorly indented in the library.
GOSSIP,Elle a eu le poste par piston tout le monde le sait.,She got the job by nepotism everyone knows it.
TECH,Le script Python est en lecture seule paramètre manquant.,The Python script is read-only missing parameter.
GOSSIP,Mon collègue est incompétent franchement.,My colleague is incompetent honestly.
GOSSIP,Mon collègue est un fumiste tout le monde le sait.,My colleague is a slacker everyone knows it.
ACCOUNTING,La provision n'est pas comptabilisé(e) pour la clôture mensuelle.,The provision is not recorded for monthly closing.
HR_COMPLAINT,Je dépose est inacceptable selon le règlement intérieur.,I file is unacceptable according to internal rules.
HR_COMPLAINT,Le harcèlement porte atteinte à ma dignité depuis des mois.,Harassment affects my dignity for months.
HR_COMPLAINT,L'ambiance ne respecte pas le droit vis-à-vis de l'équipe.,The atmosphere does not respect the law regarding the team.
BUSINESS,Le pipeline est prioritaire pour augmenter la marge.,The pipeline is priority to increase margin.
BANKING,Autorise le prélèvement code erroné.,Authorize the direct debit wrong code.
GOSSIP,La directrice est un lèche-bottes à la machine à café.,The director is a bootlicker at the coffee machine.
HR_HIRING,Le télétravail est au-dessus du marché hors avantages en nature.,Remote work is above market excluding benefits.
BUSINESS,Le prospect se termine demain pour augmenter la marge.,The prospect ends tomorrow to increase margin.
INFRA,Le ventilateur surchauffe ping élevé.,The fan is overheating high ping.
INFRA,Le switch est down il faut remplacer la pièce.,The switch is down part needs replacement.
CYBER,Le ransomware inconnue détectée depuis une IP suspecte.,The ransomware unknown detected from suspicious IP.
CYBER,L'accès root chiffre les données niveau critique.,Root access encrypts data critical level.
GOSSIP,Mon collègue est un incapable franchement.,My colleague is incapable honestly.
HR_HIRING,Le variable est de 45k pour ce poste senior.,The variable pay is 45k for this senior position.
HR_HIRING,Le package est validé(e) pour ce poste senior.,The package is validated for this senior position.
GOSSIP,C'est un est hypocrite franchement.,He is a is hypocritical honestly.
TECH,La requête HTTP provoque un segfault fuite de mémoire.,The HTTP request causes a segfault memory leak.
TECH,Le module ne compile pas dans la librairie.,The module does not compile in the library.
HR_COMPLAINT,Cette situation est une faute grave vis-à-vis de l'équipe.,This situation is serious misconduct regarding the team.
CYBER,L'authentification 2FA inconnue détectée brute force.,2FA authentication unknown detected brute force.
INFRA,Le routeur ne répond plus dans la salle serveur.,The router is not responding in server room.
HR_HIRING,Ton salaire est validé(e) hors avantages en nature.,Your salary is validated excluding benefits.
GOSSIP,Ce type est bizarre à la machine à café.,This guy is weird at the coffee machine.
TECH,La boucle while n'est pas typé(e) sur la branche dev.,The while loop is not typed on dev branch.
TECH,La variable est mal indenté(e) paramètre manquant.,The variable is poorly indented missing parameter.
BANKING,Refuse le sans contact c'est une fraude.,Decline contactless payment it is a fraud.
GOSSIP,Mon collègue est nul à chier je le supporte pas.,My colleague is absolutely useless I can't stand him.
HR_COMPLAINT,Je subis est inacceptable au travail.,I suffer is unacceptable at work.
ACCOUNTING,Le rapprochement bancaire ne s'équilibre pas sur l'exercice N-1.,Bank reconciliation does not balance on year N-1.
ACCOUNTING,Le bilan pose problème dans le logiciel SAP.,The balance sheet is problematic in SAP software.
BUSINESS,L'appel d'offres va signer pour valider le budget.,The tender will sign to validate budget.
HR_COMPLAINT,L'ambiance est une faute grave immédiatement.,The atmosphere is serious misconduct immediately.
TECH,La fonction a échoué à la ligne 42.,The function failed at line 42.
BANKING,Bloque le chèque car je n'ai pas fait cet achat.,Block the check cause I didn't make this purchase.
INFRA,Le ventilateur est hors ligne il faut remplacer la pièce.,The fan is offline part needs replacement.
ACCOUNTING,La liasse fiscale ne s'équilibre pas dans le journal des achats.,Tax package does not balance in the purchase journal.
TECH,La boucle while est en lecture seule fuite de mémoire.,The while loop is read-only memory leak.
ACCOUNTING,La provision est imputé(e) par erreur avant l'audit.,The provision is wrongly allocated before the audit.
HR_COMPLAINT,Je demande doit cesser immédiatement.,I request must stop immediately.
CYBER,Le phishing sur le port 22 brute force.,Phishing on port 22 brute force.
ACCOUNTING,Le bilan est en attente dans le logiciel SAP.,The balance sheet is pending in SAP software.
BUSINESS,La marge commerciale est perdu(e) pour augmenter la marge.,Commercial margin is lost to increase margin.
HR_COMPLAINT,Le harcèlement me met en danger selon le règlement intérieur.,Harassment endangers me according to internal rules.
HR_COMPLAINT,La pression est anxiogène et j'ai vu la médecine du travail.,The pressure is anxiety-inducing and I saw occupational health.
HR_HIRING,La voiture de fonction est validé(e) avec une prime à la signature.,Company car is validated with a signing bonus.
BUSINESS,Le contrat avance bien pour le Q4.,The contract is progressing well for Q4.
BANKING,Refuse ma carte sur le compte joint.,Decline my card on the joint account.
HR_HIRING,Le télétravail dépend de l'expérience si tu signes demain.,Remote work depends on experience if you sign tomorrow.
BUSINESS,Le chiffre d'affaires est envoyé(e) face à la concurrence.,Turnover is sent against competition.
GOSSIP,Elle est un lèche-bottes depuis qu'il est arrivé.,She is a bootlicker since he arrived.
ACCOUNTING,Le rapprochement bancaire est incorrecte dans le journal des achats.,Bank reconciliation is incorrect in the purchase journal.
GOSSIP,La directrice est nul à chier c'est hallucinant.,The director is absolutely useless it is mind-blowing.
ACCOUNTING,Le lettrage pose problème dans le journal des achats.,Reconciliation is problematic in the purchase journal.
BUSINESS,Le deal est gagné(e) face à la concurrence.,The deal is won against competition.
BANKING,Oppose le découvert suite au vol.,Stop the overdraft following theft.
LOVE,Bisous partout. bébé.,Kisses everywhere. baby.
CYBER,Le firewall a été bloqué(e) depuis une IP suspecte.,The firewall was blocked from suspicious IP.
CYBER,Attaque DDoS en cours par le WAF.,DDoS Attack in progress by the WAF.
TECH,La fonction est en lecture seule après le commit.,The function is read-only after commit.
BUSINESS,Le chiffre d'affaires va signer pour valider le budget.,Turnover will sign to validate budget.
BANKING,Refuse le plafond code erroné.,Decline the limit wrong code.
HR_HIRING,Les stock-options dépend de l'expérience selon la grille RH.,Stock options depends on experience according to HR grid.
LOVE,Bisous partout.,Kisses everywhere.
BANKING,Autorise le découvert code erroné.,Authorize the overdraft wrong code.
INFRA,Le câble Ethernet a grillé il faut remplacer la pièce.,Ethernet cable burned out part needs replacement.
HR_HIRING,La rémunération dépend de l'expérience hors avantages en nature.,The remuneration depends on experience excluding benefits.
HR_HIRING,Le brut annuel dépend de l'expérience pour ce poste senior.,Annual gross depends on experience for this senior position.
CYBER,L'antivirus intercepté(e) patch de sécurité requis.,The antivirus intercepted security patch required.
CYBER,L'antivirus en cours brute force.,The antivirus in progress brute force.
HR_COMPLAINT,Cette situation est toxique immédiatement.,This situation is toxic immediately.
HR_COMPLAINT,La pression une rupture conventionnelle vis-à-vis de l'équipe.,The pressure a mutual termination regarding the team.
BUSINESS,Le contrat est bloqué(e) au juridique pour valider le budget.,The contract is stuck at legal to validate budget.
BANKING,Annule le découvert sans contact.,Cancel the overdraft contactless.
GOSSIP,Ce manager est un lèche-bottes c'est une blague.,This manager is a bootlicker it's a joke.
ACCOUNTING,La provision n'est pas comptabilisé(e) sur l'exercice N-1.,The provision is not recorded on year N-1.
TECH,La classe est en lecture seule fuite de mémoire.,The class is read-only memory leak.
INFRA,Le câble Ethernet est déconnecté il faut remplacer la pièce.,Ethernet cable is disconnected part needs replacement.
CYBER,Le phishing signale une alerte sur la DMZ.,Phishing signals an alert on the DMZ.
HR_HIRING,Les stock-options est de 45k dans le contrat de travail.,Stock options is 45k in the employment contract.
BUSINESS,La marge commerciale se termine demain avec la clause de sortie.,Commercial margin ends tomorrow with the exit clause.
ACCOUNTING,L'actif immobilisé manque de justificatif dans le journal des achats.,Fixed assets lacks proof in the purchase journal.
INFRA,Le câble Ethernet ne répond plus sur le node 1.,Ethernet cable is not responding on node 1.
HR_HIRING,Les stock-options est compétitif pour ce poste senior.,Stock options is competitive for this senior position.
BUSINESS,Le prospect va signer face à la concurrence.,The prospect will sign against competition.
INFRA,Le câble Ethernet fait du bruit dans la salle serveur.,Ethernet cable makes noise in server room.
BANKING,Vérifie le virement SEPA suite au vol.,Check the SEPA transfer following theft.
BANKING,Rejette le virement SEPA je suis à découvert.,Reject the SEPA transfer I am overdrawn.
ACCOUNTING,L'amortissement est imputé(e) par erreur selon les normes IFRS.,The depreciation is wrongly allocated according to IFRS.
ACCOUNTING,Le lettrage est à revoir avant l'audit.,Reconciliation needs review before the audit.
GOSSIP,Ce type est incompétent à la machine à café.,This guy is incompetent at the coffee machine.
GOSSIP,Ce manager a eu le poste par piston franchement.,This manager got the job by nepotism honestly.
ACCOUNTING,L'avoir client doit être régularisé(e) dans le journal des achats.,Customer credit note must be adjusted in the purchase journal.
ACCOUNTING,La déclaration de TVA est en attente avant l'audit.,The VAT return is pending before the audit.
BANKING,Vérifie le paiement pour suspicion.,Check the payment for suspicion.
ACCOUNTING,La note de frais est imputé(e) par erreur dans les livres légaux.,The expense report is wrongly allocated in statutory books.
BUSINESS,Le partenariat est bloqué(e) au juridique selon le CRM.,The partnership is stuck at legal according to CRM.
CYBER,Le firewall en cours compromission du compte.,The firewall in progress account compromise.
INFRA,Le VPN sature sur le node 1.,The VPN is maxing out on node 1.
BUSINESS,Le partenariat doit être relancé(e) pour atteindre les objectifs.,The partnership must be followed up to reach targets.
TECH,Le framework renvoie une erreur 404 dans le main.,The framework returns a 404 error in main.
GOSSIP,Le chef est hypocrite tout le monde le sait.,The boss is hypocritical everyone knows it.
HR_HIRING,L'embauche sera versé(e) selon la grille RH.,The hiring will be paid according to HR grid.
TECH,L'argument lance une stacktrace erreur de syntaxe.,The argument throws a stacktrace syntax error.
ACCOUNTING,La déclaration de TVA doit être régularisé(e) dans le logiciel SAP.,The VAT return must be adjusted in SAP software.
CYBER,Tentative d'intrusion inconnue détectée niveau critique.,Intrusion attempt unknown detected critical level.
GOSSIP,La directrice est bizarre tout le monde le sait.,The director is weird everyone knows it.
TECH,Le module est en lecture seule fuite de mémoire.,The module is read-only memory leak.
BANKING,Vérifie le plafond sans contact.,Check the limit contactless.
CYBER,Certificat SSL intercepté(e) niveau critique.,SSL Certificate intercepted critical level.
CYBER,Signature virale signale une alerte compromission du compte.,Viral signature signals an alert account compromise.
BANKING,Suspends la transaction je suis à découvert.,Suspend the transaction I am overdrawn.
GOSSIP,C'est une est un fumiste c'est une blague.,She is a is a slacker it's a joke.
HR_COMPLAINT,Le harcèlement une plainte depuis des mois.,Harassment a complaint for months.
HR_COMPLAINT,Ma sécurité porte atteinte à ma dignité au travail.,My safety affects my dignity at work.
CYBER,Certificat SSL contourne la sécurité patch de sécurité requis.,SSL Certificate bypasses security security patch required.
CYBER,Signature virale intercepté(e) compromission du compte.,Viral signature intercepted account compromise.
ACCOUNTING,L'avoir client montre un écart au passif du bilan.,Customer credit note shows a discrepancy on the liability side.
TECH,L'argument provoque un segfault sur la branche dev.,The argument causes a segfault on dev branch.
BUSINESS,Le pipeline est gagné(e) avec la clause de sortie.,The pipeline is won with the exit clause.
ACCOUNTING,L'amortissement doit être régularisé(e) avant l'audit.,The depreciation must be adjusted before the audit.
BANKING,Refuse le débit tout de suite.,Decline the debit immediately.
CYBER,L'authentification 2FA contourne la sécurité exfiltration de données.,2FA authentication bypasses security data exfiltration.
INFRA,Le processeur CPU a grillé alerte monitoring.,The CPU processor burned out monitoring alert.
TECH,La boucle while a échoué au runtime.,The while loop failed at runtime.
BUSINESS,Le client doit être relancé(e) pour le Q4.,The client must be followed up for Q4.
HR_HIRING,Les tickets resto sera versé(e) selon la grille RH.,Meal vouchers will be paid according to HR grid.
INFRA,Le disque dur est down il faut remplacer la pièce.,The hard drive is down part needs replacement.
HR_HIRING,La prime sera versé(e) après la période d'essai.,The bonus will be paid after probation.
TECH,La requête HTTP est null erreur de syntaxe.,The HTTP request is null syntax error.
TECH,Le framework est déprécié(e) fuite de mémoire.,The framework is deprecated memory leak.
INFRA,Le cluster a grillé alerte monitoring.,The cluster burned out monitoring alert.
ACCOUNTING,L'écriture comptable manque de justificatif dans les livres légaux.,The accounting entry lacks proof in statutory books.
INFRA,La bande passante perd des paquets coupure de courant.,Bandwidth loses packets power cut.
BUSINESS,La propale est envoyé(e) pour valider le budget.,The proposal is sent to validate budget.
BANKING,Bloque le prélèvement sans contact.,Block the direct debit contactless.
BANKING,Valide le code PIN sans contact.,Validate the PIN code contactless.
BUSINESS,Le pipeline nécessite un rabais selon le CRM.,The pipeline needs a discount according to CRM.
TECH,Le pointeur est undefined fuite de mémoire.,The pointer is undefined memory leak.
INFRA,Le cluster a grillé coupure de courant.,The cluster burned out power cut.
ACCOUNTING,La provision pose problème dans les livres légaux.,The provision is problematic in statutory books.
BUSINESS,La propale est bloqué(e) au juridique avant la deadline.,The proposal is stuck at legal before the deadline.
INFRA,Le switch ne répond plus il faut remplacer la pièce.,The switch is not responding part needs replacement.
ACCOUNTING,La facture fournisseur pose problème dans le journal des achats.,Supplier invoice is problematic in the purchase journal.
BUSINESS,La négociation se termine demain sur le marché US.,The negotiation ends tomorrow on the US market.
GOSSIP,C'est une est hypocrite à la machine à café.,She is a is hypocritical at the coffee machine.
BANKING,Débloque le prélèvement suite au vol.,Unblock the direct debit following theft.
INFRA,L'alimentation est hors ligne ping élevé.,Power supply is offline high ping.
BUSINESS,Le prospect est envoyé(e) pour atteindre les objectifs.,The prospect is sent to reach targets.
BANKING,Débloque ma carte c'est une fraude.,Unblock my card it is a fraud.
BUSINESS,Le prospect hésite encore avant la deadline.,The prospect is still hesitating before the deadline.
HR_COMPLAINT,Ma sécurité ne respecte pas le droit depuis des mois.,My safety does not respect the law for months.
BUSINESS,Le closing est gagné(e) avant la deadline.,The closing is won before the deadline.
BANKING,Suspends le débit tout de suite.,Suspend the debit immediately.
BANKING,Débloque le découvert car je n'ai pas fait cet achat.,Unblock the overdraft cause I didn't make this purchase.
BANKING,Débloque le virement suite au vol.,Unblock the transfer following theft.
TECH,Le pointeur lance une stacktrace paramètre manquant.,The pointer throws a stacktrace missing parameter.
BUSINESS,Le pipeline est envoyé(e) pour le Q4.,The pipeline is sent for Q4.
GOSSIP,C'est un ne sait rien faire c'est une blague.,He is a can't do anything it's a joke.
BUSINESS,La propale est perdu(e) selon le CRM.,The proposal is lost according to CRM.
TECH,Le pointeur n'est pas typé(e) dans le main.,The pointer is not typed in main.
GOSSIP,Le nouveau est toxique franchement.,The new guy is toxic honestly.
TECH,Le script Python a échoué dans la librairie.,The Python script failed in the library.
TECH,L'exception est en lecture seule problème de dépendance.,The exception is read-only dependency issue.
ACCOUNTING,Le rapprochement bancaire montre un écart sur l'exercice N-1.,Bank reconciliation shows a discrepancy on year N-1.
HR_COMPLAINT,Ce comportement une rupture conventionnelle et je saisis les prud'hommes.,This behavior a mutual termination and I contact labor court.
HR_COMPLAINT,Je dépose ne respecte pas le droit selon le règlement intérieur.,I file does not respect the law according to internal rules.
HR_HIRING,Les stock-options est au-dessus du marché hors avantages en nature.,Stock options is above market excluding benefits.
TECH,Le compilateur est null paramètre manquant.,The compiler is null missing parameter.
BANKING,Valide le virement car je n'ai pas fait cet achat.,Validate the transfer cause I didn't make this purchase.
CYBER,L'antivirus en cours depuis une IP suspecte.,The antivirus in progress from suspicious IP.
BANKING,Vérifie le chèque pour suspicion.,Check the check for suspicion.
GOSSIP,Ce type est un fumiste c'est une blague.,This guy is a slacker it's a joke.
TECH,Le script Python est déprécié(e) à la ligne 42.,The Python script is deprecated at line 42.
BUSINESS,L'appel d'offres est gagné(e) avec la clause de sortie.,The tender is won with the exit clause.
CYBER,Signature virale a été bloqué(e) par le WAF.,Viral signature was blocked by the WAF.
ACCOUNTING,L'avoir client montre un écart dans le journal des achats.,Customer credit note shows a discrepancy in the purchase journal.
BUSINESS,Le chiffre d'affaires est perdu(e) avec la clause de sortie.,Turnover is lost with the exit clause.
HR_COMPLAINT,Je subis doit cesser et j'ai vu la médecine du travail.,I suffer must stop and I saw occupational health.
TECH,La fonction lance une stacktrace au runtime.,The function throws a stacktrace at runtime.
BANKING,Débloque le code PIN code erroné.,Unblock the PIN code wrong code.
CYBER,Payload malveillant mis en quarantaine sur la DMZ.,Malicious payload quarantined on the DMZ.
BANKING,Rejette le découvert suite au vol.,Reject the overdraft following theft.
HR_HIRING,La prime augmente de 10% avec une prime à la signature.,The bonus increases by 10% with a signing bonus.
HR_HIRING,Le package sera versé(e) avec une prime à la signature.,The package will be paid with a signing bonus.
ACCOUNTING,L'amortissement montre un écart dans le journal des achats.,The depreciation shows a discrepancy in the purchase journal.
ACCOUNTING,La déclaration de TVA ne s'équilibre pas dans le journal des achats.,The VAT return does not balance in the purchase journal.
CYBER,L'authentification 2FA a été bloqué(e) niveau critique.,2FA authentication was blocked critical level.
BUSINESS,La négociation est gagné(e) face à la concurrence.,The negotiation is won against competition.
HR_COMPLAINT,Ce comportement me met en danger immédiatement.,This behavior endangers me immediately.
INFRA,La bande passante est plein à 90% sur le node 1.,Bandwidth is 90% full on node 1.
HR_HIRING,Le télétravail est de 45k si tu signes demain.,Remote work is 45k if you sign tomorrow.
CYBER,Une faille XSS est expiré(e) sur la DMZ.,XSS vulnerability is expired on the DMZ.
INFRA,Le disque dur a grillé coupure de courant.,The hard drive burned out power cut.
HR_COMPLAINT,Je subis est une faute grave au travail.,I suffer is serious misconduct at work.
HR_COMPLAINT,Ce comportement une rupture conventionnelle immédiatement.,This behavior a mutual termination immediately.
BANKING,Refuse le prélèvement code erroné.,Decline the direct debit wrong code.
TECH,La variable est undefined dans le main.,The variable is undefined in main.
ACCOUNTING,L'amortissement doit être régularisé(e) suite à l'erreur de saisie.,The depreciation must be adjusted following data entry error.
TECH,La classe n'est pas typé(e) erreur de syntaxe.,The class is not typed syntax error.
TECH,La classe n'est pas typé(e) au runtime.,The class is not typed at runtime.
CYBER,Le ransomware inconnue détectée brute force.,The ransomware unknown detected brute force.
BUSINESS,Le closing est prioritaire face à la concurrence.,The closing is priority against competition.
ACCOUNTING,Le bilan est incorrecte selon les normes IFRS.,The balance sheet is incorrect according to IFRS.
HR_COMPLAINT,Le management est inacceptable et j'ai vu la médecine du travail.,The management is unacceptable and I saw occupational health.
CYBER,Le scan de vulnérabilité sur le port 22 exfiltration de données.,Vulnerability scan on port 22 data exfiltration.
ACCOUNTING,Le bilan est imputé(e) par erreur dans le logiciel SAP.,The balance sheet is wrongly allocated in SAP software.
HR_HIRING,Le package est compétitif dans le contrat de travail.,The package is competitive in the employment contract.
GOSSIP,Ce manager a eu le poste par piston il sert à rien.,This manager got the job by nepotism he is useless.
TECH,L'argument est undefined à la ligne 42.,The argument is undefined at line 42.
BANKING,Bloque le découvert suite au vol.,Block the overdraft following theft.
BANKING,Vérifie le débit code erroné.,Check the debit wrong code.
TECH,La requête HTTP lance une stacktrace sur la branche dev.,The HTTP request throws a stacktrace on dev branch.
BUSINESS,Le prospect nécessite un rabais pour augmenter la marge.,The prospect needs a discount to increase margin.
ACCOUNTING,Le grand livre est en attente d'un point de vue comptable.,The general ledger is pending from an accounting perspective.
INFRA,Le disque dur est hors ligne sur le node 1.,The hard drive is offline on node 1.
LOVE,Je t'aime. mon amour.,I love you. my love.
BANKING,Rejette le chèque je suis à découvert.,Reject the check I am overdrawn.
ACCOUNTING,La déclaration de TVA pose problème pour la clôture mensuelle.,The VAT return is problematic for monthly closing.
TECH,La requête HTTP a échoué dans la librairie.,The HTTP request failed in the library.
TECH,La classe a échoué sur la branche dev.,The class failed on dev branch.
HR_COMPLAINT,Cette situation une plainte selon le règlement intérieur.,This situation a complaint according to internal rules.
BANKING,Débloque le plafond car je n'ai pas fait cet achat.,Unblock the limit cause I didn't make this purchase.
BUSINESS,La clause d'exclusivité est bloqué(e) au juridique selon le CRM.,Exclusivity clause is stuck at legal according to CRM.
HR_COMPLAINT,Ce comportement est une faute grave au travail.,This behavior is serious misconduct at work.
HR_COMPLAINT,Je demande une audience vis-à-vis de l'équipe.,I request a hearing regarding the team.
CYBER,Payload malveillant intercepté(e) exfiltration de données.,Malicious payload intercepted data exfiltration.
ACCOUNTING,L'amortissement est imputé(e) par erreur dans les livres légaux.,The depreciation is wrongly allocated in statutory books.
HR_COMPLAINT,L'ambiance est anxiogène immédiatement.,The atmosphere is anxiety-inducing immediately.
CYBER,Attaque DDoS contourne la sécurité depuis une IP suspecte.,DDoS Attack bypasses security from suspicious IP.
BANKING,Débloque le chèque sans contact.,Unblock the check contactless.
BUSINESS,Le partenariat est prioritaire pour valider le budget.,The partnership is priority to validate budget.
BANKING,Vérifie ma carte je suis à découvert.,Check my card I am overdrawn.
INFRA,Le câble Ethernet doit être redémarré ping élevé.,Ethernet cable must be rebooted high ping.
ACCOUNTING,La déclaration de TVA montre un écart au passif du bilan.,The VAT return shows a discrepancy on the liability side.
INFRA,La latence réseau sature alerte monitoring.,Network latency is maxing out monitoring alert.
BUSINESS,Le deal est gagné(e) pour augmenter la marge.,The deal is won to increase margin.
GOSSIP,La directrice est bizarre à la machine à café.,The director is weird at the coffee machine.
TECH,Le pointeur lance une stacktrace erreur de syntaxe.,The pointer throws a stacktrace syntax error.
ACCOUNTING,La facture fournisseur n'est pas comptabilisé(e) dans le logiciel SAP.,Supplier invoice is not recorded in SAP software.
TECH,L'argument lance une stacktrace après le commit.,The argument throws a stacktrace after commit.
TECH,Le module est déprécié(e) paramètre manquant.,The module is deprecated missing parameter.
GOSSIP,Elle se la raconte c'est une blague.,She shows off it's a joke.
ACCOUNTING,Le passif circulant montre un écart au passif du bilan.,Current liabilities shows a discrepancy on the liability side.
TECH,L'argument provoque un segfault fuite de mémoire.,The argument causes a segfault memory leak.
TECH,L'API REST est mal indenté(e) au runtime.,The REST API is poorly indented at runtime.
CYBER,Le firewall contourne la sécurité compromission du compte.,The firewall bypasses security account compromise.
TECH,La boucle while est en lecture seule sur la branche dev.,The while loop is read-only on dev branch.
GOSSIP,La directrice a eu le poste par piston il sert à rien.,The director got the job by nepotism he is useless.
BANKING,Augmente le plafond tout de suite.,Increase the limit immediately.
BANKING,Débloque le sans contact c'est une fraude.,Unblock contactless payment it is a fraud.
INFRA,Le VPN est déconnecté sur le node 1.,The VPN is disconnected on node 1.
CYBER,Payload malveillant signale une alerte depuis une IP suspecte.,Malicious payload signals an alert from suspicious IP.
ACCOUNTING,L'actif immobilisé est incorrecte dans le logiciel SAP.,Fixed assets is incorrect in SAP software.
ACCOUNTING,La note de frais est imputé(e) par erreur sur l'exercice N-1.,The expense report is wrongly allocated on year N-1.
ACCOUNTING,L'amortissement ne s'équilibre pas dans le journal des achats.,The depreciation does not balance in the purchase journal.
INFRA,Le processeur CPU fait du bruit erreur matérielle.,The CPU processor makes noise hardware error.
ACCOUNTING,La trésorerie doit être régularisé(e) selon les normes IFRS.,Cash flow must be adjusted according to IFRS.
BUSINESS,Le client est prioritaire pour atteindre les objectifs.,The client is priority to reach targets.
HR_HIRING,L'embauche est trop bas(se) pour ce poste senior.,The hiring is too low for this senior position.
HR_HIRING,L'embauche est au-dessus du marché dans le contrat de travail.,The hiring is above market in the employment contract.
CYBER,Tentative d'intrusion intercepté(e) niveau critique.,Intrusion attempt intercepted critical level.
GOSSIP,Mon collègue est un fumiste à la machine à café.,My colleague is a slacker at the coffee machine.
BUSINESS,Le closing nécessite un rabais avant la deadline.,The closing needs a discount before the deadline.
HR_COMPLAINT,Ma sécurité me met en danger au travail.,My safety endangers me at work.
ACCOUNTING,La provision n'est pas lettré(e) avant l'audit.,The provision is not reconciled before the audit.
INFRA,L'alimentation sature alerte monitoring.,Power supply is maxing out monitoring alert.
TECH,Le build lance une stacktrace paramètre manquant.,The build throws a stacktrace missing parameter.
ACCOUNTING,Le grand livre pose problème pour la clôture mensuelle.,The general ledger is problematic for monthly closing.
HR_HIRING,Ton salaire dépend de l'expérience dans le contrat de travail.,Your salary depends on experience in the employment contract.
GOSSIP,Elle est un fumiste je le supporte pas.,She is a slacker I can't stand him.
ACCOUNTING,La déclaration de TVA n'est pas comptabilisé(e) avant l'audit.,The VAT return is not recorded before the audit.
INFRA,Le disque dur doit être redémarré coupure de courant.,The hard drive must be rebooted power cut.
INFRA,L'alimentation est plein à 90% alerte monitoring.,Power supply is 90% full monitoring alert.
BUSINESS,L'appel d'offres se termine demain avant la deadline.,The tender ends tomorrow before the deadline.
TECH,La requête HTTP lance une stacktrace dans le main.,The HTTP request throws a stacktrace in main.
BUSINESS,Le contrat avance bien avant la deadline.,The contract is progressing well before the deadline.
HR_COMPLAINT,Je dépose doit cesser selon le règlement intérieur.,I file must stop according to internal rules.
TECH,La variable est mal indenté(e) à la ligne 42.,The variable is poorly indented at line 42.
HR_HIRING,Les tickets resto est validé(e) pour ce poste senior.,Meal vouchers is validated for this senior position.
GOSSIP,Elle est un lèche-bottes tout le monde le sait.,She is a bootlicker everyone knows it.
BANKING,Autorise le débit code erroné.,Authorize the debit wrong code.
BANKING,Oppose le débit c'est une fraude.,Stop the debit it is a fraud.
ACCOUNTING,Le report à nouveau n'est pas comptabilisé(e) au passif du bilan.,Retained earnings is not recorded on the liability side.
TECH,Le script Python est mal indenté(e) sur la branche dev.,The Python script is poorly indented on dev branch.
BANKING,Suspends le virement immédiatement.,Suspend the transfer right now.
ACCOUNTING,Le passif circulant est en attente selon les normes IFRS.,Current liabilities is pending according to IFRS.
GOSSIP,Il a eu le poste par piston à la machine à café.,He got the job by nepotism at the coffee machine.
HR_COMPLAINT,Cette situation est anxiogène vis-à-vis de l'équipe.,This situation is anxiety-inducing regarding the team.
CYBER,Tentative d'intrusion inconnue détectée depuis une IP suspecte.,Intrusion attempt unknown detected from suspicious IP.
BANKING,Débloque le virement SEPA c'est une fraude.,Unblock the SEPA transfer it is a fraud.
HR_COMPLAINT,Ce comportement porte atteinte à ma dignité immédiatement.,This behavior affects my dignity immediately.
GOSSIP,C'est une ne sait rien faire tout le monde le sait.,She is a can't do anything everyone knows it.
ACCOUNTING,Le passif circulant doit être régularisé(e) au passif du bilan.,Current liabilities must be adjusted on the liability side.
