french_sentence,topic
Levée de fonds réussie,BUSINESS
Assemblée générale extraordinaire convoquée,BUSINESS
Virement bancaire effectué ce matin,BANKING
Votre compte présente un découvert,BANKING
Chèque sans provision rejeté,BANKING
Prélèvement automatique programmé,BANKING
Relevé bancaire du mois disponible,BANKING
Carte bancaire bloquée suite à fraude,BANKING
Les agios s'élèvent à 45 euros,BANKING
Dépôt en espèces au guichet,BANKING
RIB à fournir pour le virement,BANKING
Plafond de retrait atteint,BANKING
Opposition sur chèque numéro 1234,BANKING
Consultation de compte en ligne,BANKING
Votre solde actuel est de 2500 euros,BANKING
Autorisation de prélèvement accordée,BANKING
Crédit immobilier approuvé,BANKING
Je t'aime plus que tout au monde,LOVE
Tu es toute ma vie mon amour,LOVE
Jtm trop mon bébé d'amour,LOVE
Hate de te revoir ce soir,LOVE
Tu me manques énormément,LOVE
Mon coeur bat pour toi,LOVE
Tu es mon rayon de soleil,LOVE
Je pense à toi tout le temps,LOVE
Gros bisous mon chéri,LOVE
Tu es magnifique ce soir,LOVE
J'ai réservé une table pour nous deux,LOVE
Tu es mon âme soeur,LOVE
Viens dans mes bras,LOVE
Je ne peux pas vivre sans toi,LOVE
Tu illumines ma vie,LOVE
Le nouveau est vraiment incompétent,GOSSIP
Tu as vu comment il s'habille,GOSSIP
Elle sort avec le patron paraît-il,GOSSIP
Il va se faire virer c'est sûr,GOSSIP
Elle passe son temps sur Instagram,GOSSIP
Le boss a crié sur tout le monde,GOSSIP
Ils se disputent tout le temps,GOSSIP
C'est la pire collègue que j'ai eue,GOSSIP
Il fait semblant de travailler,GOSSIP
Elle arrive toujours en retard,GOSSIP
On dit qu'il va démissionner,GOSSIP
La comptable est nulle en maths,GOSSIP
Apparemment elle cherche un autre job,GOSSIP
Tu savais qu'ils sortaient ensemble,GOSSIP
Il a menti sur son CV,GOSSIP
Le serveur web est down depuis ce matin,TECH
Backup quotidien programmé à minuit,TECH
Migration vers le cloud en cours,TECH
Le VPN ne fonctionne plus,TECH
Mise à jour du système d'exploitation,TECH
Base de données SQL configurée,TECH
Problème de réseau détecté,TECH
Installation de Linux Ubuntu réussie,TECH
API REST déployée en production,TECH
Le firewall bloque le port 443,TECH
Configuration du serveur Apache,TECH
Docker container en cours d'exécution,TECH
Stockage cloud saturé,TECH
Monitoring des performances activé,TECH
Sauvegarde incrémentale terminée,TECH
Cyberattaque détectée cette nuit,CYBER
Changez vos mots de passe immédiatement,CYBER
Tentative de phishing signalée,CYBER
Malware détecté sur le poste,CYBER
Audit de sécurité planifié,CYBER
Vulnérabilité critique corrigée,CYBER
Authentification à deux facteurs activée,CYBER
Données sensibles chiffrées,CYBER
Pare-feu mis à jour,CYBER
Accès non autorisé bloqué,CYBER
Formation CYBERsécurité obligatoire,CYBER
Certificat SSL expiré,CYBER
Intrusion dans le système détectée,CYBER
Politique de sécurité renforcée,CYBER
Scanner antivirus lancé,CYBER
J'ai vu le nouveau film Marvel,MISC
Cette série Netflix est géniale,MISC
Le concert était incroyable hier soir,MISC
J'adore cette chanson,MISC
Le match de foot était serré,MISC
Elle joue très bien au piano,MISC
Ce livre est passionnant,MISC
La météo sera belle ce weekend,MISC
J'ai commencé la musculation,MISC
Le restaurant était délicieux,MISC
Je pars en vacances la semaine prochaine,MISC
Mon chat est adorable,MISC
J'ai acheté une nouvelle voiture,MISC
Le jardin est magnifique au printemps,MISC
J'apprends l'espagnol en ligne,MISC
Votre candidature nous intéresse beaucoup,HR_HIRING
Le profil LinkedIn du candidat est complet,HR_HIRING
Expérience de 3 ans minimum requise,HR_HIRING
Stage rémunéré de 6 mois,HR_HIRING
Télétravail possible 2 jours par semaine,HR_HIRING
Déplacements fréquents à prévoir,HR_HIRING
Package salarial attractif,HR_HIRING
Tickets restaurant inclus,HR_HIRING
Prise de poste immédiate souhaitée,HR_HIRING
Contrat CDI à temps plein,HR_HIRING
Je conteste mon évaluation annuelle,HR_COMPLAINT
Harcèlement moral avéré,HR_COMPLAINT
Heures supplémentaires non payées,HR_COMPLAINT
Discrimination à l'embauche,HR_COMPLAINT
Ambiance de travail toxique,HR_COMPLAINT
Mise au placard injustifiée,HR_COMPLAINT
Violation du contrat de travail,HR_COMPLAINT
Médecine du travail alertée,HR_COMPLAINT
Droit de retrait exercé,HR_COMPLAINT
Syndicat informé de la situation,HR_COMPLAINT
Écritures comptables à régulariser,ACCOUNTING
Facture fournisseur en attente,ACCOUNTING
Déclaration de TVA trimestrielle,ACCOUNTING
Analyse des écarts budgétaires,ACCOUNTING
Révision des comptes annuels,ACCOUNTING
Provision pour congés payés,ACCOUNTING
Inventaire physique des stocks,ACCOUNTING
Ajustement de la trésorerie,ACCOUNTING
Frais généraux imputés,ACCOUNTING
Arrêté des comptes mensuels,ACCOUNTING
Accord cadre signé avec le fournisseur,BUSINESS
Clause résolutoire activée,BUSINESS
Exclusivité territoriale accordée,BUSINESS
Garantie décennale souscrite,BUSINESS
Option d'achat levée,BUSINESS
Engagement de non-concurrence,BUSINESS
Transfert de propriété intellectuelle,BUSINESS
Protocole transactionnel établi,BUSINESS
Cession de fonds de commerce,BUSINESS
Droit de préemption exercé,BUSINESS
Virement SEPA programmé,BANKING
Carte à débit différé,BANKING
Assurance moyens de paiement,BANKING
Taux d'intérêt actuel de 1.5%,BANKING
Encours de crédit consulté,BANKING
Frais de tenue de compte,BANKING
Procuration bancaire établie,BANKING
Versement programmé mensuel,BANKING
Seuil d'alerte dépassé,BANKING
Remise de chèques effectuée,BANKING
Tu es mon évidence,LOVE
Follement amoureux de toi,LOVE
Notre histoire est magique,LOVE
Tu fais battre mon coeur,LOVE
Ensemble pour toujours,LOVE
Tu es mon trésor,LOVE
Câlins et bisous mon amour,LOVE
Je suis fou de toi,LOVE
Ma moitié adorée,LOVE
Tu es parfaite à mes yeux,LOVE
Il se la pète vraiment trop,GOSSIP
Elle fait sa starlette,GOSSIP
Toujours les mêmes qui bossent,GOSSIP
Il a des passe-droits,GOSSIP
Elle embrasse les fesses du chef,GOSSIP
Ils papotent toute la journée,GOSSIP
Le favoritisme est flagrant,GOSSIP
Il ment comme il respire,GOSSIP
Elle balance tout le monde,GOSSIP
Toujours à se plaindre,GOSSIP
Déploiement de l'INFRAstructure cloud,TECH
Protocole HTTPS configuré,TECH
Script Python automatisé,TECH
Architecture microservices adoptée,TECH
DevOps pipeline mis en place,TECH
Kubernetes cluster opérationnel,TECH
Cache Redis configuré,TECH
Load balancer configuré,TECH
Git repository créé,TECH
CI/CD pipeline fonctionnel,TECH
Violation de données signalée,CYBER
Ransomware neutralisé,CYBER
Politique RGPD appliquée,CYBER
Test de pénétration effectué,CYBER
Chiffrement de bout en bout,CYBER
Backdoor découverte et fermée,CYBER
Audit de conformité réussi,CYBER
Zero-day exploit patché,CYBER
Journalisation centralisée activée,CYBER
Protocole de réponse aux incidents,CYBER
La playlist Spotify est top,MISC
Soirée pizza entre amis,MISC
Balade en forêt ce dimanche,MISC
Cours de yoga relaxant,MISC
Exposition d'art contemporain,MISC
Marathon de séries ce weekend,MISC
Recette de cuisine testée,MISC
Méditation quotidienne pratiquée,MISC
Podcast très intéressant,MISC
Randonnée en montagne prévue,MISC
Peux-tu m'envoyer ton CV par mail,HR_HIRING
Le poste nécessite des déplacements en Europe,HR_HIRING
Mobilité géographique souhaitée pour ce poste,HR_HIRING
Poste avec déplacements hebdomadaires clients,HR_HIRING
Le candidat doit accepter les déplacements,HR_HIRING
Véhicule de fonction fourni pour déplacements,HR_HIRING
Déplacements à prévoir 50% du temps,HR_HIRING
Mission itinérante sur toute la France,HR_HIRING
Poste basé Paris avec déplacements régionaux,HR_HIRING
Le recrutement nécessite une mobilité,HR_HIRING
Ton profil LinkedIn m'intéresse beaucoup,HR_HIRING
Mets à jour ton profil LinkedIn,HR_HIRING
Je t'ai trouvé sur LinkedIn,HR_HIRING
Connectons-nous sur LinkedIn,HR_HIRING
Ton réseau LinkedIn est impressionnant,HR_HIRING
LinkedIn premium vaut-il le coup,HR_HIRING
J'ai vu ton post sur LinkedIn,HR_HIRING
Recommandation ajoutée sur ton LinkedIn,HR_HIRING
Profil LinkedIn bien rempli bravo,HR_HIRING
LinkedIn est saturé de recruteurs,HR_HIRING
Vérifie la provision pour créances douteuses,ACCOUNTING
Provision pour risques à constituer,ACCOUNTING
Comptabiliser la provision pour litiges,ACCOUNTING
Provision pour dépréciation des stocks,ACCOUNTING
Ajuster les provisions au bilan,ACCOUNTING
La provision doit couvrir les risques futurs,ACCOUNTING
Dotation aux provisions trimestrielle,ACCOUNTING
Reprise de provision sur exercice antérieur,ACCOUNTING
Provision pour garantie clients,ACCOUNTING
Analyser les mouvements de provisions,ACCOUNTING
Réviser les conditions générales de vente,BUSINESS
Les CGV sont jointes au contrat,BUSINESS
Acceptation des conditions générales requise,BUSINESS
Modifier les conditions générales d'utilisation,BUSINESS
CGU mises à jour sur le site,BUSINESS
Les conditions de paiement sont dans les CGV,BUSINESS
Clause particulière ajoutée aux CGV,BUSINESS
Délai de rétractation dans les CGV,BUSINESS
CGV conformes à la législation,BUSINESS
Relire attentivement les CGV,BUSINESS
Le partenariat commercial est conclu,BUSINESS
Signature du partenariat ce vendredi,BUSINESS
Partenariat gagnant-gagnant établi,BUSINESS
Notre partenariat dure depuis 5 ans,BUSINESS
Renouvellement du partenariat annuel,BUSINESS
Partenariat stratégique avec un leader,BUSINESS
Convention de partenariat signée,BUSINESS
Partenariat exclusif négocié,BUSINESS
Rupture du partenariat amiable,BUSINESS
Partenariat commercial renforcé,BUSINESS
On va au resto ensemble ce soir,LOVE
Restaurant romantique réservé pour nous,LOVE
Dîner aux chandelles ce soir mon amour,LOVE
J'ai réservé ton restaurant préféré,LOVE
Resto en amoureux pour fêter ça,LOVE
On se retrouve au resto à 20h,LOVE
Tenue chic pour le resto ce soir,LOVE
Le resto que je t'ai dit mon coeur,LOVE
Resto surprise pour toi mon bébé,LOVE
Notre resto habituel pour l'anniversaire,LOVE
J'ai réservé une table pour nous deux,LOVE
Table en terrasse réservée mon amour,LOVE
Réservation faite pour notre soirée,LOVE
J'ai pris une table près de la fenêtre,LOVE
Table pour deux personnes confirmée,LOVE
Notre table habituelle est libre,LOVE
Belle table avec vue réservée,LOVE
J'ai booké la meilleure table,LOVE
Table romantique pour nous ce soir,LOVE
Réservé la table comme tu aimes,LOVE
Tu veux aller au resto ce soir,MISC
Resto sympa découvert hier,MISC
Le resto du coin est fermé,MISC
Resto japonais ou italien,MISC
Bon resto pas cher connu,MISC
Resto avec mes collègues demain,MISC
Le resto était bondé samedi,MISC
Resto rapide pour midi,MISC
Nouveau resto ouvert dans le quartier,MISC
Resto à volonté testé,MISC
J'ai commencé une série sur Netflix,MISC
Quelle série me conseilles-tu,MISC
Cette série est addictive,MISC
Série policière captivante,MISC
Dernière saison de la série sortie,MISC
Marathon série tout le weekend,MISC
J'arrête pas de regarder cette série,MISC
Série coréenne trop bien,MISC
Fini la série en 2 jours,MISC
Cette série m'a fait pleurer,MISC
Il est trop incompétent vraiment,GOSSIP
Le nouveau chef est incompétent,GOSSIP
Elle est complètement incompétente,GOSSIP
Incompétent mais bien placé,GOSSIP
Son incompétence est flagrante,GOSSIP
Trop incompétent pour ce poste,GOSSIP
L'équipe trouve le manager incompétent,GOSSIP
Il cache son incompétence,GOSSIP
Incompétent mais arrogant en plus,GOSSIP
Son incompétence nous pénalise tous,GOSSIP
Le nouveau collègue est sympa,MISC
Nouveau dans l'équipe accueilli,MISC
Le nouveau stagiaire apprend vite,MISC
Intégration du nouveau réussie,MISC
Le nouveau a de bonnes idées,MISC
Bienvenue au nouveau membre,MISC
Le nouveau s'adapte bien,MISC
Présentation du nouveau lundi,MISC
Le nouveau vient de Paris,MISC
Formation du nouveau en cours,MISC
Quel livre utiliser pour la comptabilité,TECH
Le livre des procédures est obsolète,TECH
Documentation TECHnique dans ce livre,TECH
Livre de référence pour le développement,TECH
J'ai suivi le livre de formation,TECH
Livre numérique téléchargé,TECH
Le livre des normes ISO,TECH
Consulter le livre blanc TECHnique,TECH
Livre de configuration réseau,INFRA
Le guide TECHnique fait 500 pages,TECH
Les dates de formation sont fixées,TECH
Import de dates dans la base,TECH
Format de dates incorrect,TECH
Conversion des dates nécessaire,TECH
Plage de dates sélectionnée,TECH
Tri par dates croissantes,TECH
Les dates sont stockées en UTC,TECH
Problème de format de dates,TECH
Champ dates obligatoire,TECH
Validation des dates en cours,TECH
Les dates limites approchent,BUSINESS
Dates de livraison confirmées,BUSINESS
Report des dates de réunion,BUSINESS
Dates butoirs respectées,BUSINESS
Fixer les dates du contrat,BUSINESS
Dates de facturation mensuelles,BUSINESS
Prolongation des dates accordée,BUSINESS
Dates de paiement négociées,BUSINESS
Les dates sont contractuelles,BUSINESS
Avancement selon les dates prévues,BUSINESS
Rendez-vous amoureux samedi,LOVE
Nos dates sont sacrées,LOVE
Première date inoubliable,LOVE
Date parfaite avec toi,LOVE
Date romantique planifiée,LOVE
Chaque date est spéciale,LOVE
Belle date en perspective,LOVE
Date surprise organisée,LOVE
Notre prochaine date sera magique,LOVE
Date nocturne sous les étoiles,LOVE
Entrée en bourse prévue en juin,BUSINESS
Préparation de l'introduction en bourse,BUSINESS
IPO réussie pour la startup,BUSINESS
Valorisation avant entrée en bourse,BUSINESS
Première cotation en bourse demain,BUSINESS
L'entreprise vise la bourse,BUSINESS
Bourse de Paris ou Nasdaq,BUSINESS
Cours de bourse en hausse,BUSINESS
Action cotée en bourse,BUSINESS
Ouverture du capital en bourse,BUSINESS
Chèque de 500 euros encaissé,BANKING
Le chèque a été rejeté,BANKING
Émission de chèque annulée,BANKING
Chèque certifié demandé,BANKING
Provision insuffisante pour le chèque,BANKING
Dépôt de chèque au guichet,BANKING
Chèque sans provision signalé,BANKING
Opposition sur chèque effectuée,BANKING
Chèque de banque sécurisé,BANKING
Encaissement du chèque en cours,BANKING
Provision pour congés payés calculée,ACCOUNTING
Provisionner les risques juridiques,ACCOUNTING
La provision couvre les garanties,ACCOUNTING
Dotation aux provisions annuelle,ACCOUNTING
Provision insuffisante constatée,ACCOUNTING
Reprise sur provision excédentaire,ACCOUNTING
Provision réglementée appliquée,ACCOUNTING
Provision mathématique calculée,ACCOUNTING
Solde des provisions ajusté,ACCOUNTING
Provision pour restructuration,ACCOUNTING
Compte sans provision bloqué,BANKING
Incident de paiement sans provision,BANKING
Frais pour chèque sans provision,BANKING
Interdit bancaire suite à provision,BANKING
Régulariser la situation sans provision,BANKING
Alerte solde insuffisant provision,BANKING
Découvert non autorisé sans provision,BANKING
Fichage Banque de France provision,BANKING
Lettre de relance sans provision,BANKING
Pénalités pour absence de provision,BANKING
Le partenariat implique des investissements,BUSINESS
Partenariat TECHnologique signé,BUSINESS
Accord de partenariat européen,BUSINESS
Développer un partenariat durable,BUSINESS
Partenariat public-privé lancé,BUSINESS
Clause du partenariat respectée,BUSINESS
Extension du partenariat à l'Asie,BUSINESS
Partenariat gagnant pour les deux,BUSINESS
Renégociation du partenariat prévue,BUSINESS
Partenariat industriel majeur,BUSINESS
Tu me manques tellement mon amour,LOVE
Mon bébé d'amour tu me manques,LOVE
Vivement qu'on se retrouve,LOVE
Tu me manques à chaque instant,LOVE
Absence insupportable sans toi,LOVE
Tu me manques plus que tout,LOVE
Hâte de te serrer dans mes bras,LOVE
Mon coeur souffre de ton absence,LOVE
Chaque jour sans toi est long,LOVE
Tu me manques terriblement chéri,LOVE
Il se la raconte vraiment,GOSSIP
Elle se croit supérieure,GOSSIP
Toujours à frimer devant tout le monde,GOSSIP
Il joue les importants,GOSSIP
Elle fait son intéressante,GOSSIP
M'as-tu-vu insupportable,GOSSIP
Il parade tout le temps,GOSSIP
Elle se pavane dans les couloirs,GOSSIP
Arrogant et prétentieux,GOSSIP
Il étale sa réussite,GOSSIP
Cyber menace détectée sur le réseau,CYBER
Sécurité informatique renforcée,CYBER
Protection CYBER mise à jour,CYBER
Cyber risques évalués,CYBER
Défense CYBER active,CYBER
Cyber résilience améliorée,CYBER
Stratégie CYBER déployée,CYBER
Cyber surveillance 24/7,CYBER
Formation CYBER obligatoire,CYBER
Cyber incident résolu,CYBER
Déplacement professionnel à Lyon,HR_HIRING
Frais de déplacement remboursés,HR_HIRING
Indemnité de déplacement versée,HR_HIRING
Grand déplacement compensé,HR_HIRING
Note de frais déplacement validée,HR_HIRING
Déplacement hebdomadaire contractuel,HR_HIRING
Prime de déplacement attractive,HR_HIRING
Déplacement occasionnel accepté,HR_HIRING
Politique déplacement de l'entreprise,HR_HIRING
Refus de déplacement motivé,HR_HIRING
Suite à votre candidature pour le poste de développeur backend senior au sein de notre équipe TECHnique nous souhaitons vous rencontrer pour un premier entretien la semaine prochaine,HR_HIRING
Nous avons bien reçu votre CV et votre lettre de motivation pour le poste de chef de projet digital et votre profil correspond parfaitement aux compétences que nous recherchons,HR_HIRING
Le candidat possède une expérience significative de huit années dans le domaine du développement web avec une expertise particulière en React et Node.js,HR_HIRING
Votre profil LinkedIn montre un parcours professionnel riche et diversifié avec des postes à responsabilités croissantes dans des entreprises internationales,HR_HIRING
Le package de rémunération proposé inclut un salaire fixe attractif des tickets restaurant une mutuelle d'entreprise et la possibilité de télétravailler trois jours par semaine,HR_HIRING
Recherche un ingénieur système,HR_HIRING
Entretien lundi matin,HR_HIRING
CV bien reçu merci,HR_HIRING
Je me permets de vous contacter car je suis victime de harcèlement moral de la part de mon supérieur hiérarchique depuis maintenant plus de six mois et la situation devient intenable,HR_COMPLAINT
Mon manager abuse de son autorité en me confiant systématiquement des tâches dévalorisantes alors que mes collègues de même niveau reçoivent des missions valorisantes et stimulantes,HR_COMPLAINT
Je souhaite porter plainte officiellement pour discrimination à l'embauche car j'ai été écarté du processus de recrutement uniquement en raison de mon âge,HR_COMPLAINT
Les conditions de travail dans mon service se sont considérablement dégradées avec des horaires à rallonge des objectifs inatteignables et une pression psychologique constante,HR_COMPLAINT
Je conteste formellement la sanction disciplinaire qui m'a été notifiée car elle ne repose sur aucun fait objectif et constitue une mesure de rétorsion suite à mes revendications légitimes,HR_COMPLAINT
Harcèlement au travail,HR_COMPLAINT
Plainte déposée hier,HR_COMPLAINT
Prud'hommes saisis,HR_COMPLAINT
La provision pour risques et charges inscrite au bilan comptable de l'exercice précédent doit être réévaluée en fonction des litiges en cours et des contentieux potentiels,ACCOUNTING
Nous devons procéder à la comptabilisation de l'ensemble des factures fournisseurs du mois écoulé avant la clôture mensuelle et vérifier la concordance avec les bons de commande,ACCOUNTING
Le rapprochement bancaire met en évidence plusieurs écritures en suspens qui nécessitent une régularisation rapide afin d'établir la balance générale définitive,ACCOUNTING
L'analyse des écarts budgétaires fait apparaître un dépassement significatif des charges de personnel par rapport aux prévisions initiales de début d'année,ACCOUNTING
Le calcul de la TVA déductible sur les investissements réalisés au cours du trimestre nécessite une vérification minutieuse de tous les justificatifs comptables,ACCOUNTING
Bilan comptable validé,ACCOUNTING
TVA à déclarer,ACCOUNTING
Facture en attente,ACCOUNTING
Le partenariat stratégique que nous avons signé avec cette entreprise leader du secteur prévoit une collaboration exclusive sur le marché européen pour les trois prochaines années,BUSINESS
Les conditions générales de vente ont été entièrement revues et modifiées par notre service juridique afin de nous protéger contre d'éventuels litiges commerciaux,BUSINESS
L'avenant au contrat cadre signé ce matin avec notre principal fournisseur introduit une clause de révision des prix indexée sur l'inflation,BUSINESS
Notre projet d'introduction en bourse sur le marché Euronext est en phase finale et l'opération devrait se concrétiser d'ici la fin du premier trimestre,BUSINESS
Le conseil d'administration a approuvé à l'unanimité la fusion absorption avec notre concurrent principal ce qui va créer un leader incontesté du marché,BUSINESS
Contrat signé aujourd'hui,BUSINESS
IPO prévue en mars,BUSINESS
Partenariat validé,BUSINESS
Le virement bancaire en faveur de votre fournisseur d'un montant de quinze mille euros a été effectué ce matin et sera crédité sur son compte sous quarante-huit heures,BANKING
Votre compte courant présente actuellement un solde débiteur de trois mille euros et vous avez atteint votre plafond d'autorisation de découvert,BANKING
Le chèque numéro mille deux cent trente-quatre que vous avez émis a été rejeté pour défaut de provision et des frais bancaires vous ont été facturés,BANKING
Suite à la détection d'opérations frauduleuses sur votre carte bancaire nous avons procédé au blocage immédiat de celle-ci et vous recevrez une nouvelle carte sous cinq jours,BANKING
Les agios prélevés sur votre compte pour le mois écoulé s'élèvent à quarante-cinq euros en raison de plusieurs dépassements de votre découvert autorisé,BANKING
Virement effectué,BANKING
Carte bloquée,BANKING
Découvert atteint,BANKING
Tu es la personne la plus importante de ma vie et chaque jour passé à tes côtés est un cadeau précieux que je chéris de tout mon coeur,LOVE
Je t'aime plus que tout au monde mon amour et j'ai hâte de passer le reste de ma vie avec toi pour construire ensemble notre avenir,LOVE
J'ai réservé une table dans ce restaurant romantique en bord de Seine avec vue sur la tour Eiffel pour célébrer notre anniversaire de rencontre,LOVE
Tu me manques énormément quand tu n'es pas là et je compte les heures qui nous séparent jusqu'à nos retrouvailles ce soir,LOVE
Mon bébé d'amour tu illumines chaque instant de ma vie et je ne peux imaginer un seul jour sans ton sourire et ta tendresse,LOVE
Jtm mon coeur,LOVE
Tu me manques,LOVE
Bisous mon amour,LOVE
Le nouveau collègue qui vient d'arriver dans notre service est complètement incompétent et il passe son temps à faire des erreurs que nous devons corriger,GOSSIP
Apparemment notre chef de service sort avec la directrice des ressources humaines et c'est pour ça qu'il a obtenu sa promotion alors qu'il ne la méritait pas,GOSSIP
Tu as vu comment elle s'habille pour venir au bureau on dirait qu'elle va en boîte de nuit plutôt qu'au travail,GOSSIP
Il paraît que le directeur commercial va se faire virer parce qu'il a falsifié ses notes de frais et la direction a découvert le pot aux roses,GOSSIP
Elle passe littéralement tout son temps sur Instagram et TikTok pendant les heures de travail et personne ne lui dit rien parce qu'elle est la chouchoute du patron,GOSSIP
Il est vraiment nul,GOSSIP
Elle ment tout le temps,GOSSIP
C'est n'importe quoi,GOSSIP
Le serveur web principal de notre INFRAstructure est tombé en panne ce matin à six heures et notre équipe TECHnique travaille activement pour rétablir le service,TECH
Nous avons planifié une migration complète de notre INFRAstructure vers le cloud AWS avec une architecture microservices qui sera déployée progressivement,TECH
La base de données PostgreSQL a été configurée avec réplication en temps réel sur trois serveurs différents pour garantir la haute disponibilité,TECH
Le système de sauvegarde incrémentale automatisé s'exécute chaque nuit à minuit et conserve les backups pendant trente jours avant suppression,TECH
Notre nouvelle API REST développée en Node.js a été déployée en production ce matin après avoir passé tous les tests unitaires et d'intégration,TECH
Serveur down,TECH
Backup terminé,TECH
API déployée,TECH
Une tentative de CYBERattaque par ransomware a été détectée et bloquée automatiquement par notre système de détection d'intrusion à trois heures du matin,CYBER
Suite à la découverte d'une vulnérabilité critique dans notre application web nous avons immédiatement déployé un correctif de sécurité sur l'ensemble des serveurs,CYBER
Tous les employés doivent modifier leurs mots de passe d'accès immédiatement et activer l'authentification à deux facteurs pour renforcer la sécurité,CYBER
L'audit de sécurité réalisé par notre cabinet externe a révélé plusieurs failles de sécurité qui doivent être corrigées dans les plus brefs délais,CYBER
Le certificat SSL de notre site web a expiré ce matin entraînant des alertes de sécurité pour tous les visiteurs jusqu'à son renouvellement,CYBER
Phishing détecté,CYBER
Firewall à jour,CYBER
Malware bloqué,CYBER
J'ai commencé à regarder la nouvelle série Netflix qui fait beaucoup parler d'elle en ce moment et franchement elle est absolument incroyable et addictive,MISC
Le concert d'hier soir à Bercy était absolument extraordinaire avec une ambiance de folie et des effets visuels à couper le souffle,MISC
Je pars en vacances la semaine prochaine pour deux semaines dans les Caraïbes et j'ai vraiment hâte de me détendre sur la plage,MISC
Mon chat a encore fait des bêtises cette nuit en renversant toutes les plantes du salon et je ne sais vraiment plus quoi faire avec lui,MISC
J'ai commencé des cours de yoga en ligne tous les matins et ça m'aide vraiment à me détendre et à mieux gérer mon stress quotidien,MISC
Film génial hier,MISC
Vacances la semaine prochaine,MISC
Concert top,MISC
"Concernant la clôture annuelle j'ai remarqué un écart de provision dans le bilan comptable et il faut ajuster les amortissements avant l'audit fiscal.
",ACCOUNTING
Il est impératif de vérifier si la facture de la branche italienne inclut bien la TVA intracommunautaire pour valider le P&L du trimestre.,ACCOUNTING
Le virement international vers le fournisseur est bloqué car nous avons dépassé le plafond hebdomadaire de la carte bancaire de l'entreprise.,BANKING
Peux-tu envoyer ton RIB au format Swift pour que je puisse régulariser le solde de ton compte et éviter les agios le mois prochain ?,BANKING
Le client demande une remise supplémentaire de 10% avant de signer le contrat cadre et d'officialiser ce nouveau partenariat stratégique.,BUSINESS
"Après avoir analysé le devis le prospect souhaite modifier la clause de confidentialité du NDA avant de valider l'offre commerciale.
",BUSINESS
Le candidat que nous avons vu en entretien hier a un profil TECHnique impressionnant et j'aimerais lui faire une offre salariale rapidement.,HR_HIRING
Nous devons accélérer le processus d'onboarding car le poste de chef de projet est vacant depuis trop longtemps malgré de nombreux CV reçus.,HR_HIRING
"Je ne supporte plus ce climat toxique et le harcèlement constant de mon manager je vais saisir les RH pour lancer une procédure officielle.
",HR_COMPLAINT
Sa démission soudaine fait suite à un burnout non pris en charge et elle envisage maintenant de porter l'affaire devant les Prud'hommes.,HR_COMPLAINT
Il paraît que la direction prépare une vague de licenciements massifs d'après ce que j'ai entendu à la machine à café ce matin.,GOSSIP
C'est vraiment bizarre qu'ils passent autant de temps ensemble dans son bureau,GOSSIP
"Mon amour j'ai hâte de te retrouver ce soir pour notre date
 tu me manques énormément après cette longue journée de travail.
",LOVE
"Je t'aime mon cœur merci d'être là pour moi je t'embrasse fort et je t'envoie plein de bisous avant de reprendre mes réunions.
",LOVE
"Désolé pour le retard j'étais coincé dans le métro à cause d'une panne on se retrouve directement à la cantine pour manger à midi ?
",MISC
Il fait un temps magnifique aujourd'hui donc on pourrait peut-être prendre un café en terrasse pendant la pause ce weekend.,MISC
La fonction de rappel dans le backend retourne une erreur Null car la variable n'est pas correctement initialisée dans le commit Git.,TECH
J'ai passé la matinée à débugger cette API en Python car le tableau (array) de données ne s'affichait pas correctement sur le frontend.,TECH
Le déploiement a échoué car le cluster Kubernetes manque de RAM et le CPU est saturé par les logs qui remplissent tout le disque.,INFRA
Il faut migrer cette base de données SQL vers Azure et mettre en place un pipeline CI/CD pour automatiser nos futurs déploiements Docker.,INFRA
Le firewall a détecté une tentative de phishing massive et nous devons patcher immédiatement cette vulnérabilité CVE critique.,CYBER
"Une attaque par ransomware a chiffré plusieurs serveurs le SOC est en train d'analyser le malware pour voir si un token a été volé.
",CYBER
le bilan comptable annuel affiche une marge brute en baisse car les amortissements ont été mal calculés lors de la clôture du p&l,ACCOUNTING
il faut vérifier chaque facture et chaque note de frais avant l'audit fiscal car l'administration demande des justificatifs sur la tva,ACCOUNTING
l'expert comptable a besoin du rapport ebitda détaillé pour finaliser le reporting financier et valider les provisions pour risques,ACCOUNTING
je vais préparer la liasse fiscale et ajuster les écritures de dotation pour que le grand livre soit prêt pour la certification,ACCOUNTING
notre trésorerie est impactée par les retards de paiement des clients donc il faut relancer chaque facture impayée immédiatement,ACCOUNTING
le virement swift vers le fournisseur étranger a été rejeté car le solde du compte courant est inférieur au montant du transfert,BANKING
ma carte bancaire est bloquée suite à plusieurs codes erronés et je dois appeler mon banquier pour augmenter mon plafond de retrait,BANKING
pense à envoyer ton rib pour que je puisse ajouter ton compte comme bénéficiaire et effectuer le virement pour régulariser ton solde,BANKING
les agios prélevés ce mois ci sont très élevés car nous avons dépassé l'autorisation de découvert lors du dernier mouvement de fonds,BANKING
le transfert de fonds est en attente de validation car la banque demande une vérification de l'iban pour confirmer l'identité du compte,BANKING
le client accepte de signer le contrat dès demain si nous ajoutons une clause de remise exceptionnelle sur le devis final,BUSINESS
le prospect a enfin validé l'offre commerciale et nous attendons maintenant le retour du nda signé pour démarrer le partenariat,BUSINESS
